Run	SubRun	Entry	EV	GTID	OWLHits	NHits	Clock50MHz	DeltaT(s)
300023	12	443769	0	7758409	0	5069	2215965200567	331.939
300023	14	252402	0	8818810	21	8315	2236664949122	413.995
300024	0	172356	0	9238046	0	3280	2244879991303	164.301
300024	0	311674	0	9377367	0	5239	2247612372899	54.6476
300024	4	64905	0	11649925	2	8320	2291388534707	875.523
300024	4	241041	0	11826064	0	3168	2294828292445	68.7952
300024	4	463413	0	12048439	0	5136	2299161891656	86.672
300024	7	510245	0	13972431	21	8300	2336705600977	750.874
300024	7	592678	0	14054865	0	3320	2338316388607	32.2158
300024	8	250168	0	14338218	1	5648	2343848407883	110.64
300024	10	191032	0	15530349	0	4705	2367076026252	464.552
300024	12	491064	0	370179	0	5071	2397331628207	605.112
300025	1	413653	0	2650555	0	5374	2441826430117	889.896
300025	3	114631	0	3603434	18	4563	2460464789251	372.767
300025	3	397402	0	3886210	0	3099	2466006620281	110.837
300025	4	380652	0	4494627	0	5247	2477894730867	237.762
300025	6	543872	0	5909012	1	3427	2505467338206	551.452
300025	7	355680	0	6348266	0	4893	2514043109067	171.515
300025	11	304736	0	8799543	1	3054	2561925505896	957.648
300025	14	368927	0	10740596	1	6276	2599830967195	758.109
300025	14	425166	0	10796836	0	4560	2600937921494	22.1391
300026	0	185789	0	11017320	20	8281	2605233064982	85.9029
300026	2	529097	0	12618175	0	3388	2635525183824	605.842
300026	3	171027	0	12885843	0	5318	2640728476349	104.066
300026	6	192315	0	14786178	0	5062	2677823742699	741.905
300026	7	467154	0	15686530	0	3369	2695419772124	351.921
300026	9	517509	0	276577	0	5007	2720862881748	508.862
300026	11	116980	0	1126927	18	8350	2737478766136	332.318
300026	12	524446	0	2160147	47	8528	2757669592437	403.817
300026	13	7708	0	2271150	0	5615	2759800980335	42.6278
300026	14	300180	0	3189703	0	3769	2777668815318	357.357
300027	0	373867	0	3768323	0	3100	2788976779962	226.159
300027	0	482709	0	3877167	0	4974	2791096972628	42.4039
300027	2	220247	0	4866252	29	4786	2810427593104	386.612
300027	2	384568	0	5030575	0	4110	2813641186727	64.2719
300027	3	2582	0	5274616	1	3134	2818410854895	95.3934
300027	3	437560	0	5709601	0	3616	2826916473504	170.112
300027	4	295572	0	6193602	0	3230	2836342328390	188.517
300027	5	320100	0	6844215	0	5156	2849069763705	254.549
300027	7	96327	0	7873295	0	3163	2869181031558	402.225
300027	7	545776	0	8322750	21	8239	2877956646707	175.512
300027	8	468209	0	8871471	0	5122	2888680755283	214.482
300027	9	234477	0	9263815	0	4090	2896353508792	153.455
300027	12	109383	0	11016978	0	5114	2930599552549	684.921
300027	13	247348	0	11780737	0	5662	2945501516252	298.039
300027	14	268868	0	12428078	0	3478	2958121733794	252.404
300028	1	240512	0	13478855	0	4929	2978631430672	410.194
300028	4	296466	0	15412196	0	3434	3016295515944	753.282
300028	5	25121	0	15766949	0	5318	3023222153212	138.533
300028	5	93839	0	15835668	0	3424	3024562580081	26.8085
300028	7	224665	0	517330	0	3168	3051433138320	537.411
300028	7	324364	0	617031	15	8420	3053377692311	38.8911
300028	8	471015	0	1396515	0	5341	3067661182003	285.67
300028	9	530151	0	2080983	0	3182	3081073122646	268.239
300028	10	391466	0	2567779	0	3974	3090584871904	190.235
300028	11	11627	0	2813639	0	3117	3095397852328	96.2596
300028	11	168277	0	2970292	0	4751	3098461897124	61.2809
300028	11	474398	0	3276417	0	4303	3104459121756	119.944
300029	0	479780	0	5666329	0	3548	3151146064858	933.739
300029	1	110065	0	5921769	19	8413	3156071123045	98.5012
300029	2	154097	0	6592751	0	5879	3169186881853	262.315
300029	2	398736	0	6837394	13	8517	3173969912072	95.6606
300029	3	148827	0	7213055	0	3023	3181340439935	147.411
300029	4	150254	0	7840437	0	4996	3193641986841	246.031
300029	5	312558	0	8628208	0	3220	3208871378499	304.588
300029	6	357352	0	9305019	0	4288	3222099534505	264.563
300029	7	383652	0	9957053	16	3636	3234842137086	254.852
300029	10	424315	0	11874673	27	4160	3272275972439	748.677
300029	11	201869	0	12277833	0	5799	3280153996867	157.56
300029	12	499619	0	13201210	0	3249	3298178043695	360.481
300029	14	35936	0	13989063	0	5032	3313582598263	308.091
300030	0	236749	0	14651371	0	3367	3326468825997	257.725
300030	0	449482	0	14864107	0	3228	3330625460384	83.1327
300030	1	332222	0	15371783	0	4649	3340525479071	198
300030	2	132359	0	15797701	1	3634	3348823408134	165.959
300030	3	57973	0	16349365	0	3093	3359602007669	215.572
300030	4	504749	0	710148	0	3043	3380528949866	418.539
300030	5	227608	0	1058825	0	4966	3387314885891	135.719
300030	6	406041	0	1863284	0	3018	3403017188230	314.046
300030	6	618442	0	2075688	0	4339	3407175407419	83.1644
300030	9	197510	0	3532569	0	3066	3435619705827	568.886
300030	9	435983	0	3771046	1	4575	3440281922139	93.2443
300030	11	254701	0	4842133	0	3508	3461138580428	417.133
300030	12	425558	0	5639119	0	4707	3476760189974	312.432
300030	14	70358	0	6536362	0	3398	3494323897531	351.274
300031	0	179447	0	7103249	0	5712	3505428582485	222.094
300031	0	287513	0	7211317	0	3344	3507256071718	36.5498
300031	1	225710	0	7782379	1	3464	3517763378174	210.146
300031	2	549612	0	8732087	0	4479	3536312781882	370.988
300031	4	269769	0	9704682	20	8136	3555301732209	379.779
300031	5	149569	0	10210612	0	3215	3565178915312	197.544
300031	8	176843	0	12116964	0	6127	3602379685438	744.015
300031	9	427175	0	12993150	0	3198	3619476970805	341.946
300031	10	576887	0	13768870	0	5420	3634591483367	302.29
300031	13	588122	0	15658540	0	5228	3671573882254	739.648
300032	1	335662	0	439196	0	4540	3700748432283	583.491
300032	1	542467	0	646004	0	3331	3704788797254	80.8073
300032	3	519028	0	1874830	0	4940	3728763116165	479.486
300032	3	625011	0	1980815	0	3731	3730831267366	41.363
300032	4	622169	0	2603679	0	3142	3743015543864	243.686
300032	7	425161	0	4283969	0	3404	3775903040392	657.75
300032	8	447442	0	4932859	0	5922	3788589512505	253.729
300032	9	389299	0	5500642	1	3230	3799673300750	221.676
300032	10	19426	0	5756601	23	8292	3804673635450	100.007
300032	10	625308	0	6362493	18	4674	3816530401452	237.135
300032	11	138004	0	6501074	0	3555	3819237595612	54.1439
300032	11	220997	0	6584068	1	4924	3820862454677	32.4972
300032	13	472826	0	8088096	0	4509	3850257982934	587.911
300033	1	27210	0	9341290	0	4315	3874768036971	490.201
300033	2	550682	0	10490510	0	3140	3897251401178	449.667
300033	4	216544	0	11407589	16	3740	3915180775305	358.587
300033	4	579520	0	11770570	0	4969	3922289235043	142.169
300033	6	66533	0	12508492	0	3384	3936718988681	288.595
300033	6	571507	0	13013474	0	4101	3946586750188	197.355
300033	7	447592	0	13515145	0	3626	3956391462277	196.094
300033	10	371011	0	15327984	0	4681	3990657201813	685.315
300033	11	579418	0	16162208	16	3217	4006929079421	325.438
300033	12	487332	0	16695817	5	7701	4017340182703	208.222
300033	14	80246	0	828825	0	3265	4033816414780	329.525
300033	14	413884	0	1162468	28	8434	4040358460118	130.841
300034	2	97327	0	2598812	0	3160	4068406262493	560.956
300034	3	77696	0	3205153	0	4838	4080251516516	236.905
300034	3	224349	0	3351809	0	3413	4083103082393	57.0313
300034	4	225479	0	3979032	0	3112	4095349465127	244.928
300034	4	480583	0	4234140	18	3529	4100347179572	99.9543
300034	7	121860	0	5753617	0	3599	4130090937090	594.875
300036	0	431339	0	431346	17	8337	4160297878093	604.139
300036	2	231524	0	1482560	1	5701	4180851864494	411.08
300036	3	538972	0	2415887	20	8273	4199093228496	364.827
300036	5	323532	0	3452354	0	5107	4219320745367	404.55
300036	9	446113	0	6083746	21	3471	4270644507407	1026.48
300036	11	224511	0	7114223	0	4933	4290727171836	401.653
300036	12	556020	0	8071583	0	3514	4309426375316	373.984
300036	14	301513	0	9069095	28	8403	4328936882004	390.21
300036	14	410462	0	9178046	1	5478	4331068207958	42.6265
300037	1	578108	0	10426505	0	5201	4355404418666	486.724
300037	2	523504	0	10998094	19	3568	4366557059295	223.053
300037	4	449170	0	12176582	0	5134	4389578993568	460.439
300037	5	453543	0	12806694	0	3378	4401907703515	246.574
300037	8	187551	0	14426072	0	5332	4432611382452	614.074
300037	8	462356	0	14700881	0	3911	4438007790143	107.928
300037	10	334056	0	15826120	0	3280	4459992244566	439.689
300037	12	212418	0	247318	0	5404	4482137157105	442.898
300038	0	411894	0	2185093	0	3636	4520030770206	757.872
300038	1	53928	0	2454188	0	5948	4525292439319	105.233
300038	2	348757	0	3376824	1	3460	4543296826801	360.088
300038	4	357455	0	4640358	0	3478	4567939375694	492.851
300038	4	496833	0	4779738	0	5313	4570661191297	54.4363
300038	7	379293	0	6544272	0	3469	4605143666440	689.65
300038	8	84474	0	6876467	1	5054	4611623132605	129.589
300038	9	269479	0	7688852	0	3778	4627458130220	316.7
300038	10	528537	0	8575492	1	4959	4644782580437	346.489
300038	11	279446	0	8953798	0	3094	4652201619104	148.381
300038	12	254024	0	9555691	0	3454	4663984817102	235.664
300038	13	221592	0	10150227	0	4556	4675615705503	232.618
300038	14	88811	0	10644282	0	3030	4685262797507	192.942
300039	0	547691	0	11540545	0	3526	4702766842183	350.081
300039	1	433943	0	12053572	0	4557	4712781335119	200.29
300039	3	86625	0	12960872	0	4028	4730472919369	353.832
300039	4	471727	0	13973252	0	3427	4750255143310	395.644
300039	5	166768	0	14295519	0	3133	4756577353558	126.444
300039	5	328949	0	14457702	0	5192	4759738435167	63.2216
300039	6	443150	0	15198794	0	3113	4774206632447	289.364
300039	7	620660	0	16003671	0	4738	4789933209442	314.532
300039	8	113656	0	16124161	0	4317	4792290098340	47.1378
300039	8	289428	0	16299935	0	3153	4795724848282	68.695
300039	9	368209	0	294232	0	3580	4809528368324	276.07
300039	11	446257	0	1626830	0	3400	4835591155021	521.256
300039	12	148305	0	1956033	0	3170	4842028453511	128.746
300039	13	276227	0	2711259	0	4858	4856709566014	293.622
300039	14	168291	0	3237971	0	3362	4866189634681	189.601
300040	0	29712	0	3569179	0	4830	4872678239005	129.772
300040	3	87107	0	5508660	0	3847	4910544916832	757.334
300040	4	283484	0	6332408	1	5758	4926640254782	321.907
300040	5	256555	0	6933112	0	4572	4938372931290	234.654
300040	5	627678	0	7304241	0	3078	4945510743055	142.756
300040	7	210841	0	8147322	0	4993	4961946070459	328.707
300040	7	338386	0	8274869	0	3607	4964434962793	49.7778
300040	10	116812	0	9935594	1	3170	4996822144915	647.744
300040	10	438031	0	10256818	0	3278	5003110061451	125.758
300040	12	515013	0	11588232	0	3260	5029078610793	519.371
300040	13	56795	0	11756103	13	8337	5032350423519	65.4363
300040	13	584096	0	12283412	0	5903	5042641291842	205.817
300041	1	222452	0	13620701	0	3679	5068760123915	522.377
300041	3	289175	0	14942251	0	5708	5094533571940	515.469
300041	3	539788	0	15192867	0	3422	5099455255836	98.4337
300041	5	185730	0	16093604	21	8186	5117047670635	351.848
300041	6	99294	0	16634901	0	5029	5127621073710	211.468
300041	6	352693	0	176623	0	3563	5132554301851	98.6646
300041	7	149921	0	601193	0	4652	5140841460135	165.743
300041	10	92884	0	2426123	0	5054	5176572044287	714.612
300041	12	269740	0	3857021	0	3348	5204510556420	558.77
300041	14	189154	0	5031737	19	8204	5227439993631	458.589
300042	1	403648	0	6305135	0	6239	5252335481752	497.91
300042	2	268345	0	6796908	40	8565	5261913882569	191.568
300042	2	451384	0	6979950	0	3189	5265490181324	71.526
300042	4	550706	0	8333558	0	3458	5291948273599	529.162
300042	7	217493	0	9888616	0	4796	5321352880755	588.092
300042	7	419410	0	10090536	0	3609	5325292051368	78.7834
300042	9	272078	0	11195610	0	3397	5346863287991	431.425
300042	11	143527	0	12319110	0	5336	5368855728966	439.849
300042	13	160646	0	13589073	16	8288	5393662384654	496.133
300042	13	296366	0	13724795	0	4851	5396319877314	53.1499
300042	14	22395	0	14076784	0	3175	5403163797621	136.878
300043	3	428765	0	136549	1	3508	5457288672617	1082.5
300043	4	498463	0	833071	0	3432	5470957707204	273.381
300043	5	132621	0	1093500	0	6038	5476021165784	101.269
300043	6	104301	0	1691398	0	4258	5487724939708	234.075
300043	9	271003	0	3735416	0	5103	5527686407647	799.229
300043	9	344115	0	3808530	0	3034	5529122740697	28.7267
300043	11	78559	0	4794080	13	8056	5548374892227	385.043
300043	11	314887	0	5030411	15	8470	5553005540191	92.613
300043	12	97284	0	5438311	0	5004	5560997993872	159.849
300043	14	356984	0	6949360	0	3006	5590545004508	590.94
300044	1	297605	0	7962358	0	3117	5610346726028	396.034
300044	4	84787	0	9627017	0	3800	5642907588833	651.217
300044	4	325891	0	9868125	0	6424	5647610546684	94.0592
300044	4	540843	0	10083080	0	3406	5651818846796	84.166
300044	5	434332	0	10602647	0	4156	5661992092298	203.465
300044	6	179706	0	10974585	0	3134	5669257155050	145.301
